Java版1.12.2,Java版1.13
生成北极熊,北极熊刷怪蛋
生成兔子,兔子刷怪蛋
生成绵羊,绵羊刷怪蛋
生成潜影贝,潜影贝刷怪蛋
生成蠹虫,蠹虫刷怪蛋
生成骷髅,骷髅刷怪蛋
生成骷髅马,骷髅马刷怪蛋
生成史莱姆,史莱姆刷怪蛋
生成蜘蛛,蜘蛛刷怪蛋
生成鱿鱼,鱿鱼刷怪蛋
生成流浪者,流浪者刷怪蛋
生成恼鬼,恼鬼刷怪蛋
生成村民,村民刷怪蛋
生成卫道士,卫道士刷怪蛋
生成女巫,女巫刷怪蛋
生成凋灵骷髅,凋灵骷髅刷怪蛋
生成狼,狼刷怪蛋
生成僵尸,僵尸刷怪蛋
生成僵尸马,僵尸马刷怪蛋
生成僵尸猪人,僵尸猪人刷怪蛋
生成僵尸村民,僵尸村民刷怪蛋
花盆,虞美人盆栽
花盆,蒲公英盆栽
花盆,橡树树苗盆栽
花盆,云杉树苗盆栽
花盆,白桦树苗盆栽
花盆,丛林树苗盆栽
花盆,红色蘑菇盆栽
花盆,棕色蘑菇盆栽
花盆,仙人掌盆栽
花盆,枯萎的灌木盆栽
花盆,蕨盆栽
花盆,金合欢树苗盆栽
花盆,深色橡树树苗盆栽
花盆,兰花盆栽
花盆,绒球葱盆栽
花盆,蓝花美耳草盆栽
花盆,红色郁金香盆栽
花盆,橙色郁金香盆栽
花盆,白色郁金香盆栽
花盆,粉红色郁金香盆栽
花盆,滨菊盆栽
头颅（物品）,玩家头颅
tile.skull.skeleton.name （方块，在地上）,骷髅头颅
tile.skull.skeleton.name （方块，在墙上）,墙上的骷髅头颅
tile.skull.skeleton.name （方块，在地上）,凋灵骷髅头颅
tile.skull.skeleton.name （方块，在墙上）,墙上的凋灵骷髅头颅
tile.skull.skeleton.name （方块，在地上）,僵尸的头
tile.skull.skeleton.name （方块，在墙上）,墙上的僵尸的头
tile.skull.skeleton.name （方块，在地上）,玩家头颅
tile.skull.skeleton.name （方块，在墙上）,墙上的玩家头颅
tile.skull.skeleton.name （方块，在地上）,苦力怕的头
tile.skull.skeleton.name （方块，在墙上）,墙上的苦力怕的头
tile.skull.skeleton.name （方块，在地上）,龙首
tile.skull.skeleton.name （方块，在墙上）,墙上的龙首
金马铠（Gold Horse Armor）,金马铠（Golden Horse Armor）
白色旗帜 （方块，在地上）,橙色旗帜
白色旗帜 （方块，在地上）,品红色旗帜
白色旗帜 （方块，在地上）,淡蓝色旗帜
白色旗帜 （方块，在地上）,黄色旗帜
白色旗帜 （方块，在地上）,黄绿色旗帜
白色旗帜 （方块，在地上）,粉红色旗帜
白色旗帜 （方块，在地上）,灰色旗帜
白色旗帜 （方块，在地上）,淡灰色旗帜
白色旗帜 （方块，在地上）,青色旗帜
白色旗帜 （方块，在地上）,紫色旗帜
白色旗帜 （方块，在地上）,蓝色旗帜
白色旗帜 （方块，在地上）,棕色旗帜
白色旗帜 （方块，在地上）,绿色旗帜
白色旗帜 （方块，在地上）,红色旗帜
白色旗帜 （方块，在地上）,白色旗帜
白色旗帜 （方块，在墙上）,白色旗帜[注 2]
白色旗帜 （方块，在墙上）,橙色旗帜[注 2]
白色旗帜 （方块，在墙上）,品红色旗帜[注 2]
白色旗帜 （方块，在墙上）,淡蓝色旗帜[注 2]
白色旗帜 （方块，在墙上）,黄色旗帜[注 2]
白色旗帜 （方块，在墙上）,黄绿色旗帜[注 2]
白色旗帜 （方块，在墙上）,粉红色旗帜[注 2]
白色旗帜 （方块，在墙上）,灰色旗帜[注 2]
白色旗帜 （方块，在墙上）,淡灰色旗帜[注 2]
白色旗帜 （方块，在墙上）,青色旗帜[注 2]
白色旗帜 （方块，在墙上）,紫色旗帜[注 2]
白色旗帜 （方块，在墙上）,蓝色旗帜[注 2]
白色旗帜 （方块，在墙上）,棕色旗帜[注 2]
白色旗帜 （方块，在墙上）,绿色旗帜[注 2]
白色旗帜 （方块，在墙上）,红色旗帜[注 2]
白色旗帜 （方块，在墙上）,黑色旗帜[注 2]
沼泽（Swampland）,沼泽（Swamp）
沙漠丘陵（DesertHills）,沙漠丘陵（Desert Hills）
森林山丘,繁茂的丘陵
冻洋（FrozenOcean）,冻洋（Frozen Ocean）
冻河（FrozenRiver）,冻河（Frozen River）
冰原,积雪的冻原
蘑菇岛（Mushroom Island）,蘑菇岛（Mushroom Fields）
蘑菇岛岸（MushroomIslandShore）,蘑菇岛岸（Mushroom Field Shore）
针叶林丘陵（TaigaHills）,针叶林丘陵（Taiga Hills）
峭壁边缘,山地边缘
丛林边缘（JungleEdge）,丛林边缘（Jungle Edge）
丛林丘陵（JungleHills）,丛林丘陵（Jungle Hills）
冻沙滩,积雪沙滩
黑森林（Roofed Forest）,黑森林（Dark Forest）
冷针叶林,积雪针叶林
冷针叶林山丘,积雪的针叶林丘陵
巨型针叶林（Mega Taiga）,巨型针叶林（Giant Tree Taiga）
巨型针叶林丘陵（Mega Taiga Hills）,巨型针叶林丘陵（Giant Tree Taiga Hills）
峭壁+,繁茂的山地
平顶山,恶地
平顶山高原F,繁茂的恶地高原
平顶山高原,恶地高原
沙漠M,沙漠湖泊
峭壁M,沙砾山地
针叶林M,针叶林山地
沼泽M,沼泽丘陵
冰刺之地（Ice Plains Spikes）,冰刺之地（Ice Spikes）
丛林M,丛林变种
丛林边缘M,丛林边缘变种
桦木森林M,高大桦木森林
桦木森林丘陵M,高大桦木森林
黑森林M,黑森林丘陵
冷针叶林M,积雪的针叶林山地
巨型云杉针叶林（Mega Spruce Taiga）,巨型云杉针叶林（Giant Spruce Taiga）
巨型云杉针叶林丘陵（Redwood Taiga Hills）,巨型云杉针叶林丘陵（Giant Spruce Taiga Hills）
峭壁+M,沙砾山地+
热带草原M,破碎的热带草原
热带高原M,破碎的热带高原
平顶山（岩柱）,风蚀恶地
平顶山高原FM,繁茂的恶地高原变种
平顶山高原M,恶地高原变种
